Student Id,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
6634,1.0,1.0,3.0,9773.0,1.0,1.0,not known,1.0,1.0,1.0,4.0,7.0,125.1,1.0,0.0,1.0,1.0,1.0,,18.0,0.0,0.0,6.0,6.0,6.0,14.333333333333334,0.0,0.0,6.0,6.0,6.0,15.333333333333334,0.0,11.1,0.6,2.02
6459,1.0,1.0,1.0,not recorded,1.0,1.0,136.0,1.0,19.0,19.0,4.0,8.0,150.4,1.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.5,1.79
2238,1.0,42.0,1.0,9500.0,1.0,1.0,120.0,1.0,1.0,2.0,9.0,3.0,130.0,unidentified,0.0,0.0,1.0,0.0,0.0,,0.0,4.0,8.0,8.0,7.0,13.285714285714286,0.0,4.0,8.0,8.0,7.0,13.285714285714286,0.0,12.7,3.7,-1.7
2479,1.0,1.0,1.0,unidentified,1.0,1.0,141.0,1.0,1.0,19.0,4.0,4.0,unidentified,0.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,not known,8.0,6.0,14.0,0.0,0.0,6.0,7.0,6.0,13.142857142857142,0.0,11.1,0.6,2.02
4260,1.0,44.0,1.0,,1.0,39.0,120.0,6.0,4.0,4.0,3.0,6.0,120.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,2.0,6.0,13.0,3.0,11.666666666666666,0.0,1.0,6.0,,3.0,12.0,0.0,12.4,0.5,1.79
3544,2.0,39.0,1.0,9853.0,1.0,1.0,,1.0,,19.0,9.0,5.0,138.3,0.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,7.0,12.0,4.0,10.25,0.0,0.0,7.0,10.0,3.0,13.0,0.0,11.1,0.6,2.02
4956,1.0,39.0,1.0,9085.0,1.0,1.0,133.1,,3.0,19.0,2.0,9.0,110.0,0.0,0.0,not recorded,1.0,0.0,0.0,28.0,0.0,0.0,6.0,15.0,4.0,12.0,0.0,0.0,6.0,14.0,4.0,12.0,0.0,11.1,0.6,2.02
6758,1.0,1.0,4.0,9670.0,1.0,1.0,130.0,1.0,1.0,1.0,9.0,9.0,124.1,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,14.166666666666666,0.0,0.0,6.0,7.0,6.0,13.428571428571429,0.0,8.9,1.4,3.51
2484,1.0,1.0,1.0,9773.0,1.0,1.0,135.0,1.0,1.0,19.0,4.0,10.0,129.4,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,12.833333333333334,0.0,0.0,6.0,7.0,6.0,12.166666666666666,0.0,11.1,0.6,2.02
9845,1.0,39.0,1.0,9670.0,1.0,1.0,120.0,1.0,11.0,11.0,90.0,4.0,114.0,1.0,0.0,0.0,1.0,1.0,0.0,29.0,0.0,0.0,5.0,10.0,3.0,11.666666666666666,0.0,0.0,5.0,8.0,4.0,11.25,0.0,7.6,2.6,0.32
